"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"COM00080110","OLAYA HERRERA, CO","2002-06-14",,"25.1",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2002-06-16",,"24.3",,
"COM00080110","OLAYA HERRERA, CO","2002-06-17",,"24.6",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-06-20",,"23.3",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2002-06-23",,"24.7",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-25",,"24.5",,
"COM00080110","OLAYA HERRERA, CO","2002-06-26",,"26.4",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-27",,"26.3",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2002-06-28",,"25.6",,"19.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-29","1.0","25.6",,"19.4"
"COM00080110","OLAYA HERRERA, CO","2002-06-30","1.0","25.9",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2002-07-04",,"26.0",,"19.9"
"COM00080110","OLAYA HERRERA, CO","2002-07-07","0.0","23.0",,"17.1"
"COM00080110","OLAYA HERRERA, CO","2002-07-08","11.9","25.8",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-07-14",,"26.0",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2002-07-18","9.9","21.6",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2002-07-19","2.0","22.8",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2002-07-23",,"25.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-07-28",,"23.4",,
"COM00080110","OLAYA HERRERA, CO","2002-08-01",,"21.3",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2002-08-13",,"23.5",,
"COM00080110","OLAYA HERRERA, CO","2002-08-19",,"22.6",,"18.5"
"COM00080110","OLAYA HERRERA, CO","2002-08-21",,"24.5",,"19.8"
"COM00080110","OLAYA HERRERA, CO","2002-08-23",,"23.6",,
"COM00080110","OLAYA HERRERA, CO","2002-08-25","0.8","26.1",,"19.5"
"COM00080110","OLAYA HERRERA, CO","2002-08-26","3.0","22.5",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2002-08-27","6.1","21.7",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-08-28","2.0","23.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-08-30","3.0","21.6",,
"COM00080110","OLAYA HERRERA, CO","2002-09-01","0.5","25.9",,"19.1"
"COM00080110","OLAYA HERRERA, CO","2002-09-04","1.0","26.2",,"19.2"
"COM00080110","OLAYA HERRERA, CO","2002-09-06",,"23.7",,
"COM00080110","OLAYA HERRERA, CO","2002-09-07","0.0","24.3",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2002-09-08",,"26.4",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2002-09-09",,"25.3",,
"COM00080110","OLAYA HERRERA, CO","2002-09-13",,"25.2",,"18.1"
"COM00080110","OLAYA HERRERA, CO","2002-09-16","1.0","23.2",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-09-17","0.0","22.8",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-09-21","1.0","25.7",,"19.1"
"COM00080110","OLAYA HERRERA, CO","2002-09-23",,"22.9",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-09-26","40.9","23.0",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2002-09-28","29.0","21.1",,"16.5"
"COM00080110","OLAYA HERRERA, CO","2002-09-29","0.3","23.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-10-02",,"27.4",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2002-10-03",,"25.7",,"19.4"
"COM00080110","OLAYA HERRERA, CO","2002-10-06","8.9","24.3",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-10-07","0.0","22.1",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-10-09",,"21.9",,
"COM00080110","OLAYA HERRERA, CO","2002-10-10",,"24.3",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2002-10-12",,"24.7",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2002-10-13",,"22.3",,
"COM00080110","OLAYA HERRERA, CO","2002-10-16","9.9","24.1",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-10-17","3.0","22.3",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2002-10-18","8.9","21.2",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2002-10-19","0.3","23.4",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2002-10-20","0.0","23.8",,"19.3"
"COM00080110","OLAYA HERRERA, CO","2002-10-23","7.9","21.4",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2002-10-24","17.0","20.8",,
"COM00080110","OLAYA HERRERA, CO","2002-10-25","15.0","20.9",,
"COM00080110","OLAYA HERRERA, CO","2002-10-27","6.1","20.8",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2002-10-28","8.9","20.9",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2002-10-29","3.0","21.1",,"17.5"
"COM00080110","OLAYA HERRERA, CO","2002-10-30","18.0","19.4",,"16.7"
"COM00080110","OLAYA HERRERA, CO","2002-10-31","7.1","21.9",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2002-11-01","4.1","22.8",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-11-02","0.0","23.1",,
"COM00080110","OLAYA HERRERA, CO","2002-11-03","15.0","20.7",,"17.2"
